query,target,Similarity
0,0,0.6885245901639344
0,1,0.7777777777777778
0,2,0.7368421052631579
0,3,0.6363636363636364
0,4,0.711864406779661
0,5,0.6774193548387096
0,6,0.7777777777777778
0,7,0.6491228070175439
0,8,0.7777777777777778
0,9,0.711864406779661
0,10,0.6774193548387096
0,11,0.65625
0,12,0.7
0,13,0.7368421052631579
0,14,0.7368421052631579
0,15,0.6885245901639344
0,16,0.7777777777777778
0,17,0.7368421052631579
0,18,0.7
0,19,0.6666666666666666
0,20,0.6363636363636364
0,21,0.1595744680851064
0,22,0.17894736842105263
0,23,0.19791666666666666
0,24,0.22916666666666666
0,25,0.1485148514851485
0,26,0.2604166666666667
0,27,0.25925925925925924
0,28,0.1595744680851064
0,29,0.15463917525773196
0,30,0.17346938775510204
0,31,0.14423076923076922
0,32,0.15463917525773196
0,33,0.1595744680851064
0,34,0.1595744680851064
0,35,0.23863636363636365
0,36,0.1595744680851064
0,37,0.15463917525773196
0,38,0.1485148514851485
0,39,0.1111111111111111
0,40,0.10975609756097561
0,41,0.13253012048192772
0,42,0.1686746987951807
0,43,0.20481927710843373
0,44,0.25609756097560976
0,45,0.2926829268292683
0,46,0.2823529411764706
0,47,0.2727272727272727
0,48,0.26373626373626374
0,49,0.2553191489361702
0,50,0.24
0,51,0.11235955056179775
0,52,0.13333333333333333
0,53,0.15730337078651685
0,54,0.11504424778761062
0,55,0.13445378151260504
0,56,0.22807017543859648
0,57,0.1391304347826087
0,58,0.10526315789473684
0,59,0.1717171717171717
0,60,0.24489795918367346
0,61,0.24074074074074073
0,62,0.23423423423423423
0,63,0.2222222222222222
0,64,0.6491228070175439
0,65,0.7368421052631579
0,66,0.5362318840579711
0,67,0.6363636363636364
0,68,0.6363636363636364
0,69,0.5882352941176471
0,70,0.5428571428571428
0,71,0.4342105263157895
0,72,0.13978494623655913
0,73,0.26666666666666666
0,74,0.20253164556962025
0,75,0.13761467889908258
0,76,0.24175824175824176
0,77,0.18947368421052632
0,78,0.06766917293233082
0,79,0.12931034482758622
0,80,0.09166666666666666
0,81,0.3108108108108108
0,82,0.4057971014492754
0,83,0.410958904109589
0,84,0.5147058823529411
0,85,0.3287671232876712
0,86,0.4264705882352941
0,87,0.4305555555555556
0,88,0.5373134328358209
0,89,0.1188118811881188
0,90,0.15306122448979592
0,91,0.1414141414141414
0,92,0.17708333333333334
0,93,0.1414141414141414
0,94,0.1414141414141414
0,95,0.12962962962962962
0,96,0.12962962962962962
0,97,0.1414141414141414
0,98,0.11965811965811966
0,99,0.11926605504587157
0,100,0.26804123711340205
0,101,0.2222222222222222
0,102,0.16806722689075632
0,103,0.13076923076923078
0,104,0.12962962962962962
0,105,0.14814814814814814
0,106,0.14285714285714285
0,107,0.14285714285714285
0,108,0.15517241379310345
0,109,0.14516129032258066
0,110,0.15
0,111,0.12195121951219512
0,112,0.11290322580645161
0,113,0.21951219512195122
0,114,0.20930232558139536
0,115,0.21428571428571427
0,116,0.14516129032258066
0,117,0.13636363636363635
0,118,0.140625
0,119,0.1323529411764706
0,120,0.15
0,121,0.14516129032258066
0,122,0.0718954248366013
0,123,0.18181818181818182
0,124,0.12403100775193798
0,125,0.1276595744680851
0,126,0.12413793103448276
0,127,0.09036144578313253
0,128,0.11764705882352941
0,129,0.16
0,130,0.16058394160583941
0,131,0.15602836879432624
0,132,0.11728395061728394
0,133,0.1476510067114094
0,134,0.11940298507462686
0,135,0.12
0,136,0.1232876712328767
0,137,0.08771929824561403
0,138,0.11392405063291139
0,139,0.15384615384615385
0,140,0.1506849315068493
0,141,0.15492957746478872
0,142,0.11377245508982035
0,143,0.14285714285714285
0,144,0.09090909090909091
0,145,0.078125
0,146,0.05405405405405406
0,147,0.06666666666666667
0,148,0.08064516129032258
0,149,0.1588785046728972
0,150,0.13274336283185842
0,151,0.1346153846153846
0,152,0.10909090909090909
0,153,0.12389380530973451
0,154,0.14563106796116504
0,155,0.11926605504587157
0,156,0.109375
0,157,0.10606060606060606
0,158,0.0958904109589041
0,159,0.09333333333333334
0,160,0.0958904109589041
0,161,0.09333333333333334
0,162,0.109375
0,163,0.10606060606060606
0,164,0.109375
0,165,0.10606060606060606
0,166,0.1875
0,167,0.1717171717171717
0,168,0.16037735849056603
0,169,0.1111111111111111
0,170,0.1836734693877551
0,171,0.16071428571428573
0,172,0.19230769230769232
0,173,0.17757009345794392
0,174,0.0915032679738562
0,175,0.09868421052631579
0,176,0.12080536912751678
0,177,0.11764705882352941
0,178,0.08620689655172414
0,179,0.12949640287769784
0,180,0.13768115942028986
0,181,0.10135135135135136
0,182,0.13194444444444445
0,183,0.1111111111111111
0,184,0.07920792079207921
0,185,0.0851063829787234
0,186,0.1875
0,187,0.08247422680412371
0,188,0.0989010989010989
0,189,0.0989010989010989
0,190,0.18181818181818182
0,191,0.31313131313131315
0,192,0.3829787234042553
0,193,0.2543859649122807
0,194,0.3
0,195,0.20634920634920634
0,196,0.2459016393442623
0,197,0.13761467889908258
0,198,0.14814814814814814
0,199,0.14814814814814814
0,200,0.13761467889908258
0,201,0.14814814814814814
