,0,1,2,3,4
0,1.0,1.0,1.0,0.49830135172744366,0.5016986482725564
1,11.0,0.0,0.0,0.5216566447206789,0.4783433552793212
2,13.0,0.0,0.0,0.568348102416489,0.43165189758351097
3,23.0,1.0,1.0,0.39762050157809625,0.6023794984219037
4,28.0,1.0,1.0,0.39762050157809625,0.6023794984219037
5,44.0,1.0,1.0,0.39762050157809625,0.6023794984219037
6,59.0,1.0,1.0,0.36770873266120185,0.632291267338798
7,67.0,0.0,0.0,0.5616332354234602,0.4383667645765398
8,79.0,1.0,1.0,0.43004341233178517,0.5699565876682148
9,112.0,1.0,1.0,0.42892326013537513,0.5710767398646248
10,113.0,0.0,1.0,0.460190401106806,0.5398095988931941
11,131.0,1.0,1.0,0.4324043366414543,0.5675956633585457
12,145.0,0.0,0.0,0.5489320150151823,0.4510679849848178
13,148.0,1.0,0.0,0.5164978872994158,0.4835021127005842
14,166.0,1.0,1.0,0.4789365235274943,0.5210634764725057
15,168.0,1.0,1.0,0.43004341233178517,0.5699565876682148
16,183.0,0.0,0.0,0.5721224338960429,0.4278775661039571
17,197.0,0.0,1.0,0.4657697196919276,0.5342302803080725
18,203.0,1.0,1.0,0.31564208126767807,0.6843579187323219
19,204.0,0.0,0.0,0.5322868389260029,0.4677131610739971
20,222.0,1.0,0.0,0.5262841882757469,0.4737158117242532
21,249.0,1.0,0.0,0.6230136185824947,0.37698638141750523
22,250.0,1.0,1.0,0.35551345460541584,0.6444865453945842
23,251.0,1.0,0.0,0.5322868389260029,0.4677131610739971
24,263.0,1.0,1.0,0.4997465739109235,0.5002534260890764
25,269.0,1.0,1.0,0.42162237459010304,0.5783776254098969
26,282.0,0.0,1.0,0.47094160255965456,0.5290583974403454
27,292.0,1.0,1.0,0.4277280907163075,0.5722719092836925
28,314.0,0.0,0.0,0.5503629934558335,0.4496370065441665
29,316.0,0.0,0.0,0.6426917099062237,0.35730829009377635
30,318.0,0.0,0.0,0.6426917099062237,0.35730829009377635
31,326.0,0.0,0.0,0.58622186350998,0.41377813649002
32,329.0,0.0,0.0,0.6390345440485099,0.36096545595149004
33,344.0,0.0,0.0,0.6426917099062237,0.35730829009377635
34,351.0,0.0,0.0,0.6426917099062237,0.35730829009377635
