,0,1,2,3,4
0,3.0,1.0,0.0,0.7452625307411722,0.2547374692588278
1,5.0,0.0,0.0,0.6786267668961727,0.32137323310382726
2,15.0,0.0,0.0,0.6350400859706724,0.3649599140293276
3,20.0,1.0,1.0,0.3912905889012279,0.6087094110987721
4,24.0,1.0,1.0,0.03653649356203914,0.9634635064379609
5,25.0,1.0,1.0,0.03791733838761502,0.962082661612385
6,31.0,1.0,1.0,0.06938394799487924,0.9306160520051208
7,35.0,1.0,1.0,0.06975912262771544,0.9302408773722846
8,41.0,1.0,1.0,0.06843574845106559,0.9315642515489344
9,48.0,1.0,1.0,0.04476203125227585,0.9552379687477242
10,57.0,1.0,1.0,0.05688366134552325,0.9431163386544767
11,74.0,0.0,0.0,0.943218071467868,0.05678192853213204
12,76.0,1.0,1.0,0.07127892894095567,0.9287210710590443
13,78.0,1.0,1.0,0.38981240598261024,0.6101875940173898
14,84.0,0.0,0.0,0.928400323058554,0.07159967694144598
15,93.0,0.0,0.0,0.8214737796663485,0.1785262203336515
16,147.0,1.0,1.0,0.3460239956642681,0.6539760043357319
17,154.0,1.0,1.0,0.46858455638044205,0.531415443619558
18,170.0,1.0,1.0,0.14011562632867935,0.8598843736713206
19,192.0,0.0,0.0,0.8098304497701747,0.1901695502298253
20,193.0,1.0,0.0,0.7397575148655164,0.26024248513448356
21,195.0,1.0,0.0,0.6370467724519813,0.36295322754801873
22,196.0,0.0,0.0,0.7405353742714169,0.2594646257285831
23,211.0,1.0,0.0,0.8818308369754959,0.11816916302450409
24,219.0,1.0,1.0,0.3840421627970727,0.6159578372029273
25,228.0,0.0,0.0,0.8751080877400454,0.12489191225995455
26,233.0,0.0,0.0,0.8587739233349794,0.14122607666502063
27,279.0,1.0,0.0,0.6888004056347086,0.31119959436529143
28,281.0,0.0,0.0,0.5939618258911992,0.40603817410880083
29,299.0,0.0,0.0,0.5640377422891731,0.43596225771082686
30,302.0,0.0,1.0,0.182781911583902,0.817218088416098
31,323.0,0.0,0.0,0.858773923334752,0.141226076665248
32,327.0,0.0,0.0,0.9042522819252099,0.0957477180747901
33,331.0,0.0,0.0,0.9679980916787372,0.03200190832126282
34,335.0,0.0,0.0,0.8451156523030932,0.15488434769690684
35,338.0,0.0,0.0,0.9582273804403485,0.0417726195596515
